DateTime,AddedIPs,RemovedIPs
1584370574,21,2
1584371720,8,19
1584372494,6,0
1584373339,22,20
1584374661,5,17
1584375972,7,0
1584376939,12,11
1584377772,19,1
1584378917,3,13
1584380115,19,19
1584381302,12,10
1584382516,6,22
1584384016,20,10
1584385463,21,12
1584386891,34,1
1584388535,25,29
1584389714,8,12
1584390915,23,8
1584392115,23,10
1584393252,11,7
1584394094,5,3
1584394933,6,13
1584396854,38,5
1584398417,2,15
1584400517,10,9
1584401291,37,0
1584402394,6,18
1584403816,13,7
1584405016,33,16
1584407416,16,27
1584409336,38,12
1584411257,11,4
1584412513,23,7
1584414045,14,11
1584415696,29,3
1584416534,16,7
1584418217,13,10
1584419291,9,1
1584420143,18,9
1584421823,25,10
1584423738,35,8
1584425656,29,6
1584427334,30,4
1584429255,16,12
1584430517,22,1
1584431682,25,3
1584432916,8,14
1584434537,23,16
1584435376,15,6
1584436516,6,2
1584438132,22,8
1584439817,11,6
1584440976,13,7
1584443421,24,283
1584445516,20,24
1584446440,7,9
1584447252,2,0
1584448094,3,2
1584448936,10,6
1584450854,22,23
1584452324,15,27
1584454454,5,19
1584455716,12,13
1584456912,25,4
1584458052,1,16
1584458893,2,1
1584459738,17,26
1584461415,11,15
1584463341,11,16
1584465251,23,11
1584466663,9,23
1584467935,11,10
1584468850,0,2126
1584470030,2112,0
1584471310,0,2112
1584472517,2095,0
1584473718,15,24
1584475081,15,6
1584476053,4,19
1584477617,10,26
1584478573,15,5
1584479656,3,14
1584480916,23,18
1584482112,11,6
1584483256,5,8
1584484096,12,1
1584485413,2,33
1584486859,22,18
1584487693,2,1
1584489013,12,10
1584490451,16,17
1584491293,4,0
1584492971,27,43
1584494116,2,17
1584494892,14,2
1584495735,3,19
1584497421,16,14
1584498491,25,2
1584499984,13,39
1584501268,3,9
1584502512,21,3
1584503717,20,5
1584504917,2,23
1584505698,3,2
1584507313,33,25
1584508517,0,17
1584510138,18,34
1584510972,2,1
1584512053,19,11
1584513314,14,17
1584515196,16,50
1584516912,11,21
1584518501,10,35
1584519620,6,4
1584520817,4,21
1584521771,15,3
1584522918,1,19
1584523693,1,0
1584525376,10,27
1584526516,7,10
1584528018,3,18
1584530051,3,25
1584531313,5,30
1584533004,3,13
1584535331,3,12
1584537256,6,11
1584539412,6,33
1584540622,2,19
1584541698,11,1
1584544452,7,34
1584547482,11,43
1584548053,7,1
1584549618,22,7
1584551654,18,19
1584553334,12,35
1584554171,5,0
1584555251,1,12
1584556933,4,36
1584558128,19,27
1584559697,13,2
1584561013,2,52
1584562222,4,37
1584564138,10,18
1584565815,19,18
1584566994,19,21
1584568245,3,10
1584569414,3,8
1584570918,7,28
1584572596,24,13
1584574216,13,27
1584574932,0,6
1584576350,20,17
1584577513,3,1
1584578532,14,45
1584580456,20,12
1584582015,0,1534
1584583580,1517,0
1584584714,3,4
1584585733,20,66
1584587417,13,15
1584589335,13,29
1584591252,20,20
1584592936,16,43
1584594622,14,12
1584595821,14,34
1584598455,17,26
1584599293,23,0
1584600137,0,40
1584600972,13,1
1584602055,3,38
1584602896,2,4
1584603732,17,33
1584605653,7,41
1584606493,16,1
1584608113,20,32
1584609254,3,15
1584610935,11,22
1584611774,8,2
1584612915,3,15
1584613697,8,1
1584614533,8,20
1584616221,27,13
1584618134,31,22
1584618971,6,3
1584620117,6,8
1584621376,0,1299
1584622518,1326,0
1584623718,5,9
1584624914,15,23
1584626790,30,16
1584627934,15,1
1584629416,16,9
1584630618,26,13
1584631819,21,10
1584633375,4,13
1584634515,0,3
1584636137,0,1361
1584638051,1371,0
1584639619,22,20
1584640887,13,7
1584641657,0,2
1584643332,8,5
1584645252,22,21
1584646937,20,21
1584648122,25,10
1584649816,21,7
1584651372,25,5
1584652515,5,15
1584653294,23,0
1584654975,29,29
1584656118,8,23
1584657315,8,9
1584659422,41,21
1584660614,16,5
1584662173,25,7
1584663314,8,11
1584664096,20,2
1584665484,8,34
1584666852,23,12
1584668116,34,19
1584669314,27,8
1584670452,23,14
1584672138,20,34
1584674056,20,9
1584675917,16,18
1584677416,19,7
1584679332,32,26
1584681022,23,5
1584682693,26,31
1584683817,8,4
1584684858,25,13
1584685696,19,2
1584686543,4,22
1584687702,15,23
1584688818,11,2
1584690613,35,15
1584691821,14,14
1584693737,5,16
1584695652,14,4
1584697516,37,8
1584699254,21,8
1584700935,24,10
1584702854,26,5
1584703691,16,2
1584705427,12,15
1584707296,24,5
1584709303,19,19
1584710895,13,2
1584711732,3,19
1584713421,10,5
1584715333,18,9
1584716173,19,0
1584717316,2,5
1584718091,25,1
1584718931,4,34
1584720855,10,5
1584722533,8,5
1584723371,16,1
1584724516,2,10
1584726013,10,14
1584727815,11,8
1584729736,8,9
1584731416,26,6
1584733338,18,21
1584735022,17,11
1584736091,11,0
1584738614,15,20
1584739816,24,21
1584742452,33,27
1584744132,14,17
1584746054,23,13
1584747312,27,8
1584748574,16,3
1584749715,4,17
1584750492,17,3
1584751334,4,28
1584753252,26,14
1584754814,24,24
1584756920,20,13
1584757696,20,1
1584758529,4,22
1584759373,16,1
1584760515,4,14
1584761293,31,0
1584762138,2,22
1584762973,23,3
1584764057,5,11
1584765245,14,15
1584766407,10,6
1584767714,5,13
1584769332,22,20
1584770174,5,2
1584771251,28,10
1584772933,14,20
1584774618,16,11
1584776533,15,17
1584778456,14,12
1584780136,7,5
1584781818,9,9
1584782892,15,1
1584784211,11,35
1584785652,4,10
1584786907,4,9
1584788439,10,14
1584789541,6,6
1584790095,8,1
1584790932,0,32
1584792615,7,10
1584794533,6,19
1584796215,4,13
1584797293,16,1
1584799821,14,32
1584801016,4,11
1584802218,14,2
1584803414,5,20
1584804496,9,0
1584806560,7,26
1584808093,4,0
1584810621,10,15
1584811698,7,4
1584814455,5,36
1584815713,7,8
1584816842,9,5
1584818076,3,26
1584819733,8,26
1584820571,5,1
1584821654,7,5
1584823336,6,15
1584825016,3,17
1584826093,11,3
1584827716,5,28
1584828854,5,25
1584830115,8,13
1584831770,7,13
1584832455,6,0
1584833717,15,7
1584834914,16,4
1584836115,6,18
1584836897,6,0
1584838215,15,29
1584838838,8,19
1584840018,4,2
1584841333,21,32
1584842169,0,1599
1584843320,1589,0
1584844462,15,22
1584845773,9,4
1584846917,6,9
1584848418,12,11
1584849372,16,8
1584850516,9,14
1584852137,17,28
1584853821,8,17
1584855021,16,17
1584856273,6,5
1584857660,13,14
1584858492,12,0
1584859813,5,35
1584860942,9,15
1584862185,28,22
1584863713,14,9
1584864914,10,5
1584866114,7,6
1584867374,20,13
1584868813,9,14
1584870018,23,24
1584871814,8,20
1584873915,8,23
1584875653,9,9
1584876495,18,0
1584877335,0,30
1584879251,6,11
1584880934,18,9
1584882117,7,9
1584883221,7,1
1584884535,14,23
1584886119,7,10
1584887660,9,7
1584889477,14,17
1584890054,2,1
1584891312,13,8
1584892494,8,18
1584893715,5,6
1584894915,9,3
1584896178,17,6
1584897316,3,7
1584898818,8,19
1584899775,7,5
1584900914,0,12
1584902416,5,12
1584903372,7,5
1584904455,3,14
1584906012,14,21
1584907717,8,5
1584909016,15,12
1584910212,19,6
1584911415,6,18
1584911652,2,0
1584913077,18,32
1584914174,3,3
1584915257,2,12
1584916095,10,0
1584916936,3,44
1584918401,12,11
1584919696,21,0
1584921312,13,20
1584922516,3,18
1584924012,14,22
1584924974,8,6
1584926115,1,11
1584926895,4,0
1584928575,29,34
1584929718,2,22
1584930912,16,16
1584932172,10,9
1584933252,1,15
1584934092,2,0
1584936855,23,28
1584938419,22,21
1584940221,17,22
1584942144,8,25
1584943814,16,7
1584945736,13,19
1584947415,15,11
1584949332,21,24
1584950696,10,5
1584952098,9,2
1584952937,8,19
1584953772,11,0
1584954854,5,7
1584955696,3,0
1584957316,22,8
1584958516,7,10
1584959293,5,1
1584960612,10,4
1584961820,15,6
1584963020,12,5
1584963735,4,7
1584965654,7,2
1584966908,5,7
1584968118,5,6
1584969254,20,7
1584970092,5,0
1584971413,11,18
1584972621,9,3
1584974534,12,16
1584976010,18,7
1584977713,25,7
1584978134,3,3
1584980052,10,10
1584981263,6,6
1584982517,1,1
1584983717,19,4
1584984912,10,16
1584987013,18,11
1584988175,7,8
1584989774,0,1471
1584990920,1486,0
1584992537,10,8
1584994220,8,4
1584995398,7,4
1584997311,20,6
1584998416,6,2
1584999736,11,18
1585000571,6,1
1585001719,6,5
1585002835,3,17
1585005256,22,12
1585006091,3,2
1585007346,10,10
1585008618,15,10
1585010536,10,24
1585011372,16,1
1585012519,8,6
1585014133,12,15
1585015544,10,11
1585016743,3,1
1585017733,9,19
1585019053,18,12
1585021333,17,19
1585022174,15,2
1585023319,2,12
1585024937,10,18
1585026856,15,14
1585027995,13,9
1585029373,2,5
1585030452,17,11
1585031294,17,1
1585032913,11,29
1585034116,3,16
1585035314,11,15
1585037718,7,19
1585038910,5,12
1585040116,18,7
1585041254,5,15
1585042420,10,15
1585043942,5,12
1585045220,7,2
1585046537,1,15
1585048455,6,2
